"Pancreas"
"Recent Trends in SEER Incidence (2000-2023) and U.S. Mortality (2000-2024) Rates"
"By Rate Type, Both Sexes, All Races / Ethnicities, All Ages"

"","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","U.S. Mortality Rate","U.S. Mortality Rate","U.S. Mortality Rate","U.S. Mortality Rate"
"2019","13.9589","13.7808","14.1389","13.9761","14.0203","13.8413","14.2010","13.8888","11.2717","11.1670","11.3771","11.2787"
"2020","13.4109","13.2381","13.5856","14.0070","13.4817","13.3079","13.6573","14.0560","11.2889","11.1850","11.3935","11.2725"
"2021","14.1248","13.9485","14.3028","14.0380","14.2351","14.0574","14.4145","14.2253","11.3529","11.2497","11.4569","11.2664"
"2022","14.0287","13.8553","14.2038","14.0690","14.2269","14.0511","14.4045","14.3967","11.2057","11.1044","11.3077","11.2603"
"2023","14.0883","13.9167","14.2616","14.1002","14.5836","14.4059","14.7630","14.5701","11.1620","11.0624","11.2623","11.2542"
"2024","^","^","^","^","^","^","^","^","11.3129","11.2139","11.4127","11.2481"


"Data Source:"
"-SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"-U.S. Mortality Data (1969-2024), National Center for Health Statistics, CDC."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Cancer site cause of death is defined using the SEER Cause of Death Recode 1969+ (03/01/2018) [https://seer.cancer.gov/codrecode/1969_d03012018/index.html]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Fri Sep 11 2026.
